# PDF_FILE	PAGE	ANNOTATED_LANG	LANG_DETECT
UMP100-00536704.pdf	1	-	-
UMP100-00536704.pdf	2	-	-
UMP100-00536704.pdf	3	-	-
UMP100-00536704.pdf	4	eng	eng
UMP100-00536704.pdf	5	eng	eng
UMP100-00536704.pdf	6	fra	fra
UMP100-00536704.pdf	7	fra	fra
UMP100-00536704.pdf	8	deu	deu
UMP100-00536704.pdf	9	deu	deu
UMP100-00536704.pdf	10	ita	ita
UMP100-00536704.pdf	11	ita	ita
UMP100-00536704.pdf	12	nld	nld
UMP100-00536704.pdf	13	nld	nld
UMP100-00536704.pdf	14	spa	spa
UMP100-00536704.pdf	15	spa	spa
UMP100-00536704.pdf	16	por	por
UMP100-00536704.pdf	17	por	por
UMP100-00536704.pdf	18	tur	tur
UMP100-00536704.pdf	19	tur	tur
UMP100-00536704.pdf	20	ell	ell
UMP100-00536704.pdf	21	ell	ell
UMP100-00536704.pdf	22	dan	dan
UMP100-00536704.pdf	23	dan	dan
UMP100-00536704.pdf	24	fin	fin
UMP100-00536704.pdf	25	fin	fin
UMP100-00536704.pdf	26	nor	nor
UMP100-00536704.pdf	27	nor	nor
UMP100-00536704.pdf	28	swe	swe
UMP100-00536704.pdf	29	swe	swe
UMP100-00536704.pdf	30	pol	pol
UMP100-00536704.pdf	31	pol	pol
UMP100-00536704.pdf	32	ces	ces
UMP100-00536704.pdf	33	ces	ces
UMP100-00536704.pdf	34	hun	hun
UMP100-00536704.pdf	35	hun	hun
UMP100-00536704.pdf	36	rus	rus
UMP100-00536704.pdf	37	rus	rus
UMP100-00536704.pdf	40	-	-
UMP100-00cf8eb4.pdf	1	-	-
UMP100-00cf8eb4.pdf	2	-	-
UMP100-00cf8eb4.pdf	3	-	-
UMP100-00cf8eb4.pdf	4	deu	deu
UMP100-00cf8eb4.pdf	5	deu	deu
UMP100-00cf8eb4.pdf	6	deu	deu
UMP100-00cf8eb4.pdf	7	deu	deu
UMP100-00cf8eb4.pdf	8	eng	eng
UMP100-00cf8eb4.pdf	9	eng	eng
UMP100-00cf8eb4.pdf	10	eng	eng
UMP100-00cf8eb4.pdf	11	eng	eng
UMP100-00cf8eb4.pdf	12	rus	rus
UMP100-00cf8eb4.pdf	13	rus	rus
UMP100-00cf8eb4.pdf	14	rus	rus
UMP100-00cf8eb4.pdf	15	rus	rus
UMP100-00cf8eb4.pdf	16	hun	hun
UMP100-00cf8eb4.pdf	17	hun	hun
